id,overall_qual,year_built,year_remod/add,mas_vnr_area,exter_qual,bsmtfin_sf_1,total_bsmt_sf,1st_flr_sf,gr_liv_area,full_bath,kitchen_qual,totrms_abvgrd,fireplaces,garage_cars,garage_area,saleprice,lifespan,foundation_BrkTil,foundation_CBlock,foundation_PConc,foundation_Slab,foundation_Stone,foundation_Wood,mas_vnr_type_BrkCmn,mas_vnr_type_BrkFace,mas_vnr_type_None,mas_vnr_type_Stone
2339,5,1955,1955,0.0,1,1056.0,1056.0,1056,1056,1,1,5,0,2.0,572.0,145000,51,0,1,0,0,0,0,0,0,1,0
624,6,1961,1961,3.0,1,1312.0,1453.0,1453,1453,2,1,6,1,2.0,530.0,187500,48,0,1,0,0,0,0,0,1,0,0
86,5,1965,2009,0.0,1,553.0,894.0,894,894,1,1,5,1,1.0,336.0,138500,45,0,1,0,0,0,0,0,0,1,0
1534,5,1937,1995,0.0,1,606.0,942.0,1265,1938,2,2,7,1,1.0,240.0,198000,71,0,1,0,0,0,0,0,0,1,0
1957,5,1949,2006,0.0,1,0.0,672.0,672,924,1,1,6,1,2.0,576.0,122900,58,0,1,0,0,0,0,0,0,1,0
380,8,1981,1981,0.0,2,1104.0,2524.0,2524,2524,2,2,9,1,2.0,542.0,278000,28,0,0,1,0,0,0,0,0,1,0
2860,8,1929,1950,0.0,1,0.0,792.0,792,1517,1,2,7,2,2.0,400.0,230000,77,0,0,1,0,0,0,0,0,1,0
2517,8,1995,1996,0.0,2,437.0,1494.0,1494,1494,1,3,6,1,2.0,481.0,270000,11,0,0,1,0,0,0,0,0,1,0
1933,6,1952,1952,0.0,1,441.0,948.0,948,948,1,1,5,0,2.0,410.0,125000,55,0,1,0,0,0,0,0,0,1,0
820,8,2007,2008,336.0,2,1288.0,1705.0,1718,1718,2,2,7,1,3.0,826.0,297000,2,0,0,1,0,0,0,0,0,0,1
675,6,1958,1958,82.0,1,0.0,160.0,1142,1142,1,1,5,1,1.0,384.0,113500,51,0,1,0,0,0,0,0,1,0,0
2910,5,1977,1977,0.0,1,548.0,757.0,925,1475,2,1,6,1,1.0,336.0,127000,29,0,0,1,0,0,0,0,0,1,0
21,6,1977,1977,480.0,1,705.0,1844.0,1844,1844,2,1,7,1,2.0,546.0,190000,33,0,1,0,0,0,0,0,1,0,0
1873,7,1973,1973,320.0,1,916.0,1242.0,1242,1242,1,1,6,1,2.0,528.0,175500,34,0,1,0,0,0,0,0,1,0,0
2125,5,1994,1994,0.0,1,420.0,990.0,990,990,1,1,5,0,1.0,384.0,146000,13,0,0,1,0,0,0,0,0,1,0
1489,5,1965,1965,0.0,2,830.0,1256.0,1256,1256,1,1,6,0,1.0,276.0,147500,43,0,1,0,0,0,0,0,0,1,0
2383,10,2006,2006,0.0,3,1386.0,2076.0,2076,2076,2,3,7,1,3.0,850.0,465000,0,0,0,1,0,0,0,0,0,1,0
983,5,1978,1978,104.0,1,1097.0,1097.0,1110,1110,1,2,4,1,2.0,602.0,165500,31,0,0,1,0,0,0,0,1,0,0
1325,5,1954,1954,335.0,1,0.0,1050.0,1050,1795,2,1,7,0,1.0,352.0,131500,54,1,0,0,0,0,0,0,1,0,0
1378,5,1965,1965,0.0,1,906.0,1040.0,1040,1040,1,1,5,0,1.0,384.0,129500,43,0,1,0,0,0,0,0,0,1,0
1537,8,1935,1950,40.0,1,210.0,608.0,983,1873,1,1,9,2,2.0,786.0,257076,73,0,0,1,0,0,0,0,0,0,1
905,5,1941,1960,0.0,1,408.0,984.0,984,1604,2,1,6,0,2.0,660.0,117000,68,0,1,0,0,0,0,0,0,1,0
1532,7,1931,2000,0.0,1,0.0,776.0,851,1502,1,1,6,1,1.0,270.0,149000,77,1,0,0,0,0,0,0,0,1,0
132,5,1954,1954,110.0,1,354.0,1056.0,1063,1063,1,1,6,0,1.0,280.0,128000,56,0,1,0,0,0,0,0,0,0,1
1078,7,2003,2004,106.0,2,0.0,764.0,764,1626,2,2,6,0,2.0,474.0,155000,5,0,0,1,0,0,0,0,0,0,1
2511,6,2000,2000,513.0,2,353.0,756.0,768,1524,2,2,4,0,2.0,440.0,166000,6,0,0,1,0,0,0,0,1,0,0
912,4,1928,1950,0.0,1,622.0,1122.0,1328,1981,2,2,7,2,2.0,576.0,135000,81,1,0,0,0,0,0,0,0,1,0
2351,7,1978,1978,184.0,1,790.0,1392.0,1392,2784,3,2,12,2,2.0,564.0,250000,28,0,1,0,0,0,0,0,1,0,0
330,4,1970,1970,0.0,1,176.0,546.0,546,1092,1,1,5,0,0.0,0.0,76000,40,0,1,0,0,0,0,0,0,1,0
2586,6,1951,1951,522.0,1,0.0,216.0,1575,1575,1,2,5,1,2.0,400.0,155000,55,0,1,0,0,0,0,0,1,0,0
224,6,1969,1969,143.0,1,371.0,663.0,663,1352,1,1,7,0,1.0,299.0,158000,41,0,1,0,0,0,0,0,0,0,1
98,7,2004,2005,0.0,2,368.0,600.0,600,1200,2,2,4,0,2.0,480.0,149500,6,0,0,1,0,0,0,0,0,1,0
2565,5,1954,1975,0.0,1,486.0,936.0,936,936,1,1,5,0,1.0,240.0,121000,52,0,1,0,0,0,0,0,0,1,0
1934,6,1953,1953,0.0,1,85.0,1040.0,1040,1040,1,1,6,0,1.0,293.0,136000,54,0,1,0,0,0,0,0,0,1,0
997,6,1996,1996,0.0,1,138.0,916.0,916,1636,2,1,7,1,2.0,386.0,173000,12,0,0,1,0,0,0,0,0,1,0
64,8,1999,2007,348.0,2,524.0,1152.0,1164,2270,2,2,9,1,3.0,671.0,290000,11,0,0,1,0,0,0,0,1,0,0
1799,8,2007,2007,0.0,2,64.0,1184.0,1184,2610,2,3,11,1,2.0,550.0,303477,0,0,0,1,0,0,0,0,0,1,0
230,7,1977,2001,0.0,2,1092.0,1420.0,1483,1483,1,1,4,2,2.0,690.0,270000,33,0,1,0,0,0,0,0,0,1,0
1295,5,1920,1950,0.0,0,360.0,936.0,960,1740,1,3,6,1,1.0,225.0,122250,88,1,0,0,0,0,0,0,0,1,0
638,5,1955,1955,0.0,1,172.0,1382.0,1382,1382,1,2,6,0,1.0,350.0,153000,54,0,1,0,0,0,0,0,0,1,0
2278,5,2007,2007,0.0,1,206.0,1120.0,1120,1120,1,1,6,0,0.0,0.0,147000,0,0,0,1,0,0,0,0,0,1,0
2202,7,1930,1995,0.0,1,246.0,531.0,567,1098,1,1,5,1,1.0,216.0,148500,77,1,0,0,0,0,0,0,0,1,0
2833,7,2004,2004,117.0,2,0.0,976.0,976,1708,2,2,7,0,2.0,380.0,130000,2,0,0,1,0,0,0,0,0,0,1
1707,9,2006,2006,510.0,3,0.0,1802.0,1802,1802,2,3,7,1,3.0,843.0,372000,1,0,0,1,0,0,0,0,0,0,1
2428,7,2005,2005,145.0,2,16.0,1362.0,1506,1506,2,2,6,1,2.0,440.0,213490,1,0,0,1,0,0,0,0,1,0,0
242,7,2009,2010,96.0,2,1346.0,1508.0,1508,1508,1,2,5,2,2.0,572.0,308030,1,0,0,1,0,0,0,0,0,0,1
1564,7,1996,1997,668.0,2,700.0,1840.0,2032,2032,3,2,7,0,3.0,786.0,300000,12,0,0,1,0,0,0,0,1,0,0
2613,6,1959,1959,0.0,1,655.0,655.0,1194,1194,1,1,6,1,2.0,539.0,159500,47,0,1,0,0,0,0,0,0,1,0
2832,7,2004,2004,50.0,2,0.0,970.0,970,1709,2,2,7,0,2.0,380.0,137500,2,0,0,1,0,0,0,0,0,0,1
2459,7,2005,2005,228.0,2,0.0,1616.0,1616,1616,2,2,7,0,3.0,834.0,232000,1,0,0,1,0,0,0,0,1,0,0
1360,6,1930,1950,0.0,2,0.0,768.0,768,768,1,1,4,0,2.0,440.0,93850,78,1,0,0,0,0,0,0,0,1,0
2723,5,1924,1950,65.0,1,0.0,872.0,872,872,1,0,5,1,1.0,322.0,105000,82,1,0,0,0,0,0,0,0,0,1
1350,4,1927,1950,0.0,1,0.0,520.0,520,520,1,0,4,0,1.0,240.0,68500,81,1,0,0,0,0,0,0,0,1,0
136,5,1960,1960,361.0,1,443.0,1105.0,1105,2274,2,1,12,0,2.0,480.0,154300,50,0,1,0,0,0,0,0,1,0,0
2235,5,1925,2003,0.0,2,0.0,936.0,936,1601,2,1,6,0,0.0,0.0,129850,82,1,0,0,0,0,0,0,0,1,0
1993,5,1910,1950,0.0,1,168.0,616.0,616,1232,1,1,6,0,2.0,480.0,114000,97,1,0,0,0,0,0,0,0,1,0
367,9,2008,2009,748.0,3,1904.0,2216.0,2234,2234,2,3,9,1,3.0,1166.0,501837,1,0,0,1,0,0,0,0,0,0,1
1309,5,1915,1950,0.0,1,0.0,876.0,876,1416,1,1,7,1,3.0,720.0,153900,93,1,0,0,0,0,0,0,0,1,0
402,4,1971,2006,0.0,1,240.0,864.0,864,864,1,1,5,0,2.0,576.0,130000,38,0,1,0,0,0,0,0,0,1,0
1592,6,1997,1997,197.0,1,864.0,1189.0,1189,1189,2,1,4,0,2.0,392.0,160500,11,0,0,1,0,0,0,0,1,0,0
2409,9,2006,2006,572.0,3,415.0,1666.0,1666,1666,2,2,6,1,2.0,575.0,310090,0,0,0,1,0,0,0,0,1,0,0
539,7,2003,2003,0.0,2,833.0,1176.0,1200,1200,2,2,5,0,2.0,555.0,184900,6,0,0,1,0,0,0,0,0,1,0
1940,5,1956,2000,0.0,1,377.0,928.0,928,928,1,1,4,0,1.0,252.0,132000,51,0,1,0,0,0,0,0,0,1,0
588,5,1969,1969,128.0,1,553.0,1288.0,1336,1336,2,1,6,1,2.0,502.0,163000,40,0,1,0,0,0,0,0,1,0,0
96,7,2004,2004,120.0,2,280.0,600.0,600,1200,2,2,4,0,2.0,480.0,155000,6,0,0,1,0,0,0,0,1,0,0
1187,6,1969,1969,0.0,1,828.0,1427.0,1427,1427,2,1,7,0,2.0,516.0,183000,39,0,1,0,0,0,0,0,0,1,0
2154,7,1996,2002,254.0,2,762.0,860.0,1212,1992,2,2,7,2,2.0,608.0,211000,11,0,0,1,0,0,0,0,1,0,0
550,7,1994,1994,0.0,2,36.0,754.0,754,1540,2,2,6,0,2.0,495.0,184000,15,0,0,1,0,0,0,0,0,1,0
811,5,1979,1979,0.0,1,0.0,0.0,1535,1535,2,1,8,0,2.0,400.0,118858,30,0,0,0,1,0,0,0,0,1,0
124,5,1964,1964,86.0,1,1014.0,1152.0,1152,1152,1,1,6,1,2.0,484.0,180500,46,0,0,1,0,0,0,0,1,0,0
1836,8,2006,2007,30.0,2,60.0,1141.0,1151,1151,2,2,5,0,2.0,484.0,166000,1,0,0,1,0,0,0,0,0,0,1
779,6,1960,1960,54.0,1,588.0,1138.0,1138,1138,1,1,6,1,2.0,480.0,148000,49,0,1,0,0,0,0,0,1,0,0
1886,5,1956,1956,0.0,1,438.0,894.0,1074,1074,1,2,6,1,2.0,396.0,124000,51,0,1,0,0,0,0,0,0,1,0
1724,9,2005,2005,246.0,3,1153.0,1561.0,1561,1561,2,3,6,1,2.0,556.0,277500,2,0,0,1,0,0,0,0,1,0,0
2450,8,1995,1995,397.0,2,527.0,1342.0,1358,2726,2,2,9,1,3.0,725.0,350000,11,0,0,1,0,0,0,0,1,0,0
1013,9,2004,2004,296.0,3,1337.0,1884.0,1884,1884,2,3,7,1,3.0,670.0,387000,4,0,0,1,0,0,0,0,1,0,0
2084,4,1920,2002,0.0,1,348.0,528.0,605,605,1,1,5,0,0.0,0.0,86000,87,1,0,0,0,0,0,0,0,1,0
1184,8,1976,2007,0.0,3,1044.0,1426.0,1671,1671,3,3,6,1,2.0,550.0,290000,32,0,1,0,0,0,0,0,0,1,0
950,6,2001,2002,0.0,1,690.0,804.0,804,1961,2,2,7,1,2.0,560.0,215000,8,0,0,1,0,0,0,0,0,1,0
2524,5,1972,1972,144.0,1,962.0,1153.0,1193,1193,2,1,6,0,2.0,501.0,146500,34,0,1,0,0,0,0,0,1,0,0
2513,7,2000,2000,0.0,2,641.0,673.0,673,1382,2,2,6,0,2.0,490.0,165000,6,0,0,1,0,0,0,0,0,1,0
2028,6,1916,1950,0.0,1,168.0,714.0,1664,2526,2,2,10,1,1.0,216.0,136000,91,1,0,0,0,0,0,0,0,1,0
2309,6,1957,1957,902.0,1,1110.0,1705.0,1390,1390,1,3,4,2,2.0,550.0,252000,49,0,1,0,0,0,0,0,0,0,1
51,7,2003,2003,106.0,2,0.0,764.0,764,1626,2,2,6,0,2.0,474.0,175500,7,0,0,1,0,0,0,0,0,0,1
699,5,1939,1950,0.0,1,421.0,690.0,868,1558,1,1,7,1,2.0,400.0,150000,70,1,0,0,0,0,0,0,0,1,0
1881,5,1960,1978,0.0,1,0.0,978.0,1422,1422,1,1,6,1,1.0,286.0,139900,47,0,1,0,0,0,0,0,0,1,0
1345,5,1930,1992,0.0,1,0.0,1078.0,1128,1573,2,1,8,1,2.0,360.0,162900,78,0,0,1,0,0,0,0,0,1,0
166,6,1962,1962,261.0,1,0.0,1116.0,1116,1116,1,1,5,0,2.0,440.0,160000,48,0,1,0,0,0,0,0,1,0,0
781,2,1947,1950,0.0,1,0.0,0.0,660,660,1,0,5,0,0.0,0.0,63900,62,0,0,0,1,0,0,0,0,1,0
379,6,1978,1998,144.0,1,832.0,1140.0,1707,1707,2,1,7,1,2.0,479.0,184000,31,0,0,1,0,0,0,0,1,0,0
2818,5,1959,1959,132.0,1,176.0,1466.0,1466,1466,1,0,6,2,2.0,528.0,149900,47,0,1,0,0,0,0,0,1,0,0
1168,9,2000,2000,260.0,2,1027.0,1614.0,1638,1638,2,3,5,1,2.0,495.0,300000,8,0,0,1,0,0,0,0,1,0,0
1396,5,1960,1960,275.0,1,988.0,988.0,1721,1721,2,1,7,2,2.0,626.0,145000,48,0,1,0,0,0,0,0,0,0,1
838,6,1997,1997,0.0,1,821.0,928.0,928,1764,2,2,7,0,2.0,470.0,231500,12,0,0,1,0,0,0,0,0,1,0
1492,5,1940,1969,0.0,1,290.0,996.0,996,996,1,1,6,1,0.0,0.0,108000,68,0,1,0,0,0,0,0,0,1,0
637,5,1956,1956,0.0,1,435.0,1202.0,1202,1202,1,1,6,0,1.0,304.0,120000,53,0,1,0,0,0,0,0,0,1,0
1826,5,1961,1961,57.0,1,827.0,988.0,988,988,1,1,5,0,2.0,572.0,128500,46,0,1,0,0,0,0,0,1,0,0
173,5,1927,1950,0.0,1,0.0,1008.0,1028,1028,1,1,5,1,2.0,360.0,115000,83,0,1,0,0,0,0,0,0,1,0
715,5,1947,1950,0.0,1,312.0,720.0,720,1284,1,1,5,0,1.0,240.0,110000,62,0,1,0,0,0,0,0,0,1,0
1183,9,1977,1977,1050.0,2,410.0,994.0,1599,2944,2,2,9,1,3.0,864.0,150000,31,0,1,0,0,0,0,0,1,0,0
2433,8,2004,2004,0.0,2,0.0,707.0,707,1414,2,2,6,1,2.0,403.0,178000,2,0,0,1,0,0,0,0,0,1,0
2866,7,1932,1990,0.0,1,0.0,637.0,959,1609,1,2,8,2,3.0,579.0,199500,74,1,0,0,0,0,0,0,0,1,0
2311,6,1997,1998,0.0,1,700.0,813.0,813,1525,2,1,6,1,2.0,400.0,183500,9,0,0,1,0,0,0,0,0,1,0
1551,5,1967,1967,0.0,0,257.0,624.0,1092,1656,1,1,7,1,1.0,288.0,126000,41,0,1,0,0,0,0,0,0,1,0
1049,7,1977,1977,0.0,1,378.0,1055.0,1055,1055,2,1,4,0,2.0,440.0,148500,31,0,1,0,0,0,0,0,0,1,0
657,5,1939,2006,0.0,1,0.0,676.0,676,1352,2,2,7,0,2.0,720.0,149000,70,1,0,0,0,0,0,0,0,1,0
414,6,1977,1977,0.0,1,389.0,855.0,855,1456,2,1,6,1,2.0,440.0,137900,32,0,1,0,0,0,0,0,0,1,0
1181,8,1993,1993,0.0,2,1619.0,1719.0,1719,1719,1,2,6,2,2.0,473.0,324000,15,0,0,1,0,0,0,0,0,1,0
1514,5,1925,1950,0.0,1,468.0,864.0,864,864,1,1,5,0,0.0,0.0,98000,83,0,1,0,0,0,0,0,0,1,0
1040,6,1973,1973,359.0,1,458.0,483.0,483,987,1,1,5,0,1.0,264.0,103400,35,0,1,0,0,0,0,0,1,0,0
216,5,1875,1996,0.0,1,0.0,780.0,780,1020,1,1,6,0,0.0,0.0,94000,135,0,1,0,0,0,0,0,0,1,0
1720,8,2006,2006,108.0,2,24.0,1554.0,1554,1554,2,2,6,1,2.0,627.0,209500,1,0,0,1,0,0,0,0,0,0,1
2331,10,2006,2006,662.0,3,0.0,1528.0,1528,3390,3,3,10,1,3.0,758.0,545224,0,0,0,1,0,0,0,0,1,0,0
204,6,1912,2009,0.0,2,0.0,780.0,780,1560,1,2,7,0,0.0,0.0,159900,98,0,0,1,0,0,0,0,0,1,0
19,4,1951,1951,0.0,1,120.0,864.0,864,864,1,1,4,0,2.0,400.0,141000,59,0,1,0,0,0,0,0,0,1,0
2438,6,2000,2000,0.0,1,732.0,982.0,1008,1889,2,1,9,1,2.0,431.0,215000,6,0,0,1,0,0,0,0,0,1,0
89,5,1962,2010,0.0,1,659.0,1040.0,1040,1040,1,1,6,0,1.0,260.0,127000,48,0,1,0,0,0,0,0,0,1,0
240,5,1954,1998,0.0,1,954.0,1172.0,1172,1172,1,1,5,0,1.0,366.0,128000,56,0,1,0,0,0,0,0,0,1,0
105,8,2010,2010,0.0,2,1032.0,1642.0,1418,1418,1,2,6,1,3.0,852.0,267916,0,0,0,1,0,0,0,0,0,1,0
2020,6,1931,1950,0.0,1,425.0,884.0,959,1367,1,1,6,1,1.0,560.0,127500,76,1,0,0,0,0,0,0,0,1,0
888,7,2003,2003,500.0,2,0.0,0.0,495,1922,3,2,7,1,2.0,672.0,198500,6,0,0,0,1,0,0,0,1,0,0
1019,6,1981,1981,210.0,1,588.0,1422.0,1422,1422,2,2,7,1,2.0,576.0,175500,27,0,1,0,0,0,0,0,1,0,0
2132,7,2000,2000,144.0,2,841.0,985.0,985,1842,2,2,7,1,2.0,486.0,217500,7,0,0,1,0,0,0,0,1,0,0
203,4,1915,1950,0.0,1,0.0,888.0,888,1962,1,1,9,1,2.0,572.0,149500,95,0,1,0,0,0,0,0,0,1,0
420,5,1966,2004,165.0,2,644.0,864.0,1120,1120,1,1,5,1,2.0,656.0,148800,43,0,0,1,0,0,0,0,1,0,0
2333,9,2005,2006,208.0,2,240.0,1992.0,1992,2868,3,3,11,1,3.0,716.0,556581,1,0,0,1,0,0,0,0,0,0,1
632,6,1957,1957,0.0,1,189.0,1478.0,1478,1478,1,1,6,2,2.0,442.0,156500,52,0,1,0,0,0,0,0,0,1,0
2800,7,1995,1996,0.0,2,685.0,930.0,950,1995,2,2,8,1,2.0,610.0,237000,11,0,0,1,0,0,0,0,0,1,0
1885,5,1958,1985,0.0,1,111.0,912.0,912,912,1,1,5,0,1.0,297.0,120000,49,0,1,0,0,0,0,0,0,1,0
1734,6,2005,2005,0.0,1,918.0,1326.0,1326,1326,2,2,6,0,2.0,388.0,203000,2,0,0,1,0,0,0,0,0,1,0
2327,8,1987,1987,0.0,1,0.0,1191.0,1204,1204,2,1,5,0,2.0,461.0,130000,19,0,1,0,0,0,0,0,0,1,0
1282,6,1964,1964,360.0,1,674.0,780.0,798,1611,1,1,7,0,2.0,442.0,167900,44,0,1,0,0,0,0,0,1,0,0
2688,4,1970,1970,160.0,1,789.0,960.0,960,960,1,1,6,0,2.0,576.0,129000,36,0,1,0,0,0,0,0,1,0,0
2581,5,1957,1996,64.0,1,360.0,1070.0,1236,1236,1,2,6,1,1.0,447.0,134450,49,0,1,0,0,0,0,0,1,0,0
2067,5,1918,2007,0.0,1,0.0,816.0,1416,1416,2,2,7,0,2.0,576.0,112000,89,1,0,0,0,0,0,0,0,1,0
2115,7,1988,1988,360.0,2,608.0,929.0,946,1873,2,2,7,1,2.0,619.0,207000,19,0,0,1,0,0,0,0,1,0,0
754,5,1922,1950,0.0,1,0.0,1040.0,1088,2128,2,1,11,0,0.0,0.0,62500,87,1,0,0,0,0,0,0,0,1,0
1079,7,2003,2004,106.0,2,573.0,764.0,764,1626,2,2,6,0,2.0,474.0,154000,5,0,0,1,0,0,0,0,0,0,1
2615,5,1957,1957,0.0,1,708.0,816.0,816,816,1,1,5,0,1.0,308.0,129900,49,0,1,0,0,0,0,0,0,1,0
329,5,1976,1976,0.0,1,129.0,536.0,536,1112,1,1,4,0,1.0,336.0,85000,34,0,1,0,0,0,0,0,0,1,0
1320,7,1926,1950,0.0,1,0.0,572.0,572,1111,1,1,5,1,1.0,288.0,116900,82,0,0,1,0,0,0,0,0,1,0
416,6,1978,1978,0.0,1,311.0,855.0,855,1441,2,1,7,1,2.0,440.0,148500,31,0,1,0,0,0,0,0,0,1,0
284,4,1941,1950,0.0,1,348.0,672.0,672,924,1,0,5,0,1.0,280.0,80000,69,1,0,0,0,0,0,0,0,1,0
1385,5,1984,1984,0.0,1,104.0,1060.0,1126,1126,1,1,5,0,2.0,506.0,152000,24,0,0,1,0,0,0,0,0,1,0
275,5,1954,1954,0.0,1,0.0,381.0,992,992,1,1,6,0,1.0,319.0,155891,56,0,1,0,0,0,0,0,0,1,0
2024,6,1920,1950,0.0,1,0.0,768.0,752,1376,1,2,7,0,2.0,576.0,165000,87,0,0,1,0,0,0,0,0,1,0
68,7,2009,2010,0.0,2,0.0,1218.0,1218,1218,2,2,4,0,2.0,676.0,204500,1,0,0,1,0,0,0,0,0,1,0
1910,5,1942,1995,224.0,1,386.0,728.0,888,1644,1,2,7,2,1.0,312.0,146500,65,0,1,0,0,0,0,0,0,0,1
381,7,1978,1978,206.0,1,704.0,1271.0,1601,1601,2,1,7,1,2.0,478.0,157000,31,0,1,0,0,0,0,0,1,0,0
1323,7,1890,1999,0.0,1,0.0,1313.0,1313,2495,2,1,10,1,2.0,342.0,184000,118,1,0,0,0,0,0,0,0,1,0
2432,6,2002,2003,0.0,2,457.0,783.0,807,1509,2,2,7,1,2.0,393.0,183200,4,0,0,1,0,0,0,0,0,1,0
777,5,1962,1962,116.0,1,170.0,1092.0,1092,1092,1,1,6,1,1.0,288.0,139000,47,0,1,0,0,0,0,0,1,0,0
1107,7,1993,1994,651.0,2,1173.0,1311.0,1325,2418,2,2,9,1,3.0,983.0,341000,15,0,0,1,0,0,0,0,1,0,0
30,6,1971,1971,504.0,1,156.0,483.0,483,987,1,1,5,0,1.0,264.0,96000,39,0,1,0,0,0,0,0,1,0,0
282,4,2003,2004,0.0,1,0.0,1121.0,1121,1121,2,1,5,0,2.0,440.0,140000,7,0,0,1,0,0,0,0,0,1,0
188,6,1957,1996,0.0,1,600.0,912.0,1236,1236,1,1,6,0,2.0,923.0,149700,53,0,1,0,0,0,0,0,0,1,0
2356,5,1975,1975,0.0,1,788.0,1056.0,1074,1074,1,1,6,0,2.0,495.0,153500,31,0,1,0,0,0,0,0,0,1,0
1464,7,2003,2003,252.0,2,550.0,884.0,884,1768,2,2,8,0,2.0,543.0,224900,5,0,0,1,0,0,0,0,1,0,0
2469,7,2005,2005,0.0,2,0.0,1257.0,1266,1266,2,2,6,1,2.0,453.0,176000,1,0,0,1,0,0,0,0,0,1,0
1834,8,1992,2000,337.0,2,700.0,1683.0,2129,2872,2,2,9,1,2.0,541.0,285000,15,0,0,1,0,0,0,0,1,0,0
1779,8,2007,2007,84.0,2,929.0,1485.0,1464,1464,2,2,6,0,3.0,754.0,282922,0,0,0,1,0,0,0,0,0,0,1
2569,7,1966,1966,309.0,1,445.0,924.0,1216,2157,2,2,8,2,2.0,487.0,226000,40,0,1,0,0,0,0,0,1,0,0
2334,8,2006,2006,466.0,3,0.0,1234.0,1264,2576,2,3,10,1,3.0,666.0,361919,0,0,0,1,0,0,0,0,1,0,0
2330,9,2005,2006,600.0,2,1218.0,1398.0,1414,2798,3,3,11,1,3.0,670.0,457347,1,0,0,1,0,0,0,0,1,0,0
2119,8,1976,1976,0.0,2,51.0,966.0,1743,1743,0,2,5,2,2.0,529.0,279000,31,0,1,0,0,0,0,0,0,1,0
